namc_code,true_tm2_code,query_text,query_sanskrit_term,bm25_base_top1_pred,bm25_base_top1_score,bm25_base_top1_correct,bm25_base_true_rank,bm25_rerank_top1_pred,bm25_rerank_top1_score,bm25_rerank_top1_correct,bm25_rerank_true_rank,bm25_rerank_fixed,bm25_rerank_hurt
AAA-2.1,SR10,(a) vātaprakopaḥ (a) vātaprakopaḥ (a) vātaprakopaḥ (a) vātaprakopaḥ - It is characterized by abdominal pain and increased gaseous movements in abdomen. This may be explained by aggravation of vatadosha at its designated site and preparing to cause certain morbidity.,(a) vātaprakopaḥ,SR10,0.9999999999844817,True,1.0,SR10,1.2499999999844817,True,1.0,False,False
AAB-2,SQ05,"(a) anavasthitacittatvam (a) anavasthitacittatvam (a) anavasthitacittatvam (a) anavasthitacittatvam - It is characterised by difficulty to concentrate, fickleness, confusion. This may be explained by: (a) Vitiation of vata affecting the mind.",(a) anavasthitacittatvam,SQ05,0.9999999999842779,True,1.0,SQ05,1.249999999984278,True,1.0,False,False
AAB-3,SP9Y,(a) aṅgamardaḥ (a) aṅgamardaḥ (a) aṅgamardaḥ (a) aṅgamardaḥ - -,(a) aṅgamardaḥ,SN4F,0.9999999999701144,False,4.0,SN4F,0.9999999999701144,False,2.0,False,False
AAB-7,SM1P,"(a) arasajñatā (a) arasajñatā (a) arasajñatā (a) arasajñatā - It is characterised by loss of taste which may be associated with loss of smell, anorexia, increased secretion of saliva. This may be explained by: (a) Impairment of digestive and metabolic factors affecting kapha residing on the tongue.",(a) arasajñatā,SM1P,0.9999999999845518,True,1.0,SM1P,1.249999999984552,True,1.0,False,False
AAB-40,SP1Y,(a) jānuviśleṣaḥ (a) jānuviśleṣaḥ (a) jānuviśleṣaḥ (a) jānuviśleṣaḥ - -,(a) jānuviśleṣaḥ,SN4F,0.9999999999701144,False,,SN4F,0.9999999999701144,False,2.0,False,False
AAB-46,SK30,(a) daṇḍakaḥ (a) daṇḍakaḥ (a) daṇḍakaḥ (a) daṇḍakaḥ - -,(a) daṇḍakaḥ,SN4F,0.9999999999701144,False,,SN4F,0.9999999999701144,False,2.0,False,False
AAB-48,SM1Y,(a) dantaśaithilyam (a) dantaśaithilyam (a) dantaśaithilyam (a) dantaśaithilyam - -,(a) dantaśaithilyam,SN4F,0.9999999999701144,False,,SN4F,0.9999999999701144,False,2.0,False,False
AAB-49,SN60,"(a) nakhabhedaḥ (a) nakhabhedaḥ (a) nakhabhedaḥ (a) nakhabhedaḥ - It is characterised by whitish, mica coloured discoloration, brittleness of nails. This may be explained by: (a) Vitiated digestive and metabolic factors resulting in non absorption of nutrients leading to vitiation of vatadosha.",(a) nakhabhedaḥ,SN60,0.9999999999847028,True,1.0,SN60,1.249999999984703,True,1.0,False,False
AAB-50,SN7Y,(a) hrasvakeśaḥ (a) hrasvakeśaḥ (a) hrasvakeśaḥ (a) hrasvakeśaḥ - -,(a) hrasvakeśaḥ,SN4F,0.9999999999701144,False,,SN4F,0.9999999999701144,False,4.0,False,False
AAB-54,SK5Y,(a) pādabhraṃśaḥ (a) pādabhraṃśaḥ (a) pādabhraṃśaḥ (a) pādabhraṃśaḥ - -,(a) pādabhraṃśaḥ,SN4F,0.9999999999701144,False,,SN4F,0.9999999999701144,False,2.0,False,False
